,osmid,y,x,start_distance,end_distance,spot_distance,projection_value
0,1529584231,35.664751,139.2873173,0.04921776740230689,6.44281257521461,"[4.516282668781053, 4.740817490264308, 12.246295500302798, 4.6798453406804645, 4.845530831414005, 3.965223485946915, 6.401770095145181, 6.417262013643042, 2.316664874692544, 4.708180857999179, 4.260095712817856, 3.518182459614074, 5.022821478366801, 4.731554206611873, 2.9349446382848083, 5.042265331046587, 5.125666192625336, 5.170834678516814, 1.182819188436283, 5.267234781374281, 3.9719774895193996, 4.780022709557554, 6.492792396037788, 9.858735262691638, 2.592945045842918, 9.518637974627698, 10.224056427968174, 4.7275827049250525, 4.766488278297285, 4.715907143783288, 3.306558583458412, 2.504471647424594, 2.413785230177806]",-7.269725422581593
1,7136895109,35.6682162,139.2905393,0.4418060964092587,6.497533206096231,"[4.290992504576099, 4.5415465802328345, 12.04395261834904, 4.481939019792501, 4.681716014158294, 3.750844156834949, 6.273347628443772, 6.29294715701222, 2.2373255104023624, 4.542046870359598, 4.038501156400797, 3.3038817859006313, 4.814847424223952, 4.53266068995433, 3.106390602246073, 4.828134140598323, 4.909674040881085, 4.952629463594418, 0.7101364710771143, 5.358970196315933, 3.6402777855601527, 4.552612965110342, 6.483364561644916, 9.84101001337781, 2.5174733485417486, 9.424769392736744, 10.204750524988876, 4.5005565887204115, 4.536320145194496, 4.514680083633538, 3.100859299085569, 2.375398244353239, 2.2951834746393316]",-7.270032724757516
2,7136895746,35.6684309,139.2925108,0.5768963688462494,6.391856860898765,"[4.121986533310067, 4.376538486152727, 11.87605670347532, 4.317219711566956, 4.523056819942198, 3.584117924307246, 6.120484508947229, 6.140935632058984, 2.1055810771797514, 4.383088623073723, 3.8702951259971816, 3.1377932658186642, 4.648163335379489, 4.367725183330656, 3.048970343169938, 4.660452424807252, 4.7416440340121095, 4.784227826333765, 0.5616968554857599, 5.266558017494778, 3.4606755836897203, 4.3830861318619645, 6.359141323623734, 9.712478906886961, 2.3849038782119636, 9.27785437613948, 10.075664164276255, 4.331124782901752, 4.366396338715792, 4.34936291012862, 2.9366413471944863, 2.229939363430384, 2.152776385276886]",-7.270120333300401
3,9828176322,35.6621995,139.2941058,0.6430155688783766,5.798436599292085,"[3.878782447731939, 4.089539794568025, 11.588925210380676, 4.02814364910369, 4.1809487770685925, 3.324288618493666, 5.727996236932509, 5.742927679586811, 1.6412048516028253, 4.04455804729312, 3.6216501252147224, 2.8798840205010507, 4.3747225576895765, 4.080136694877393, 2.365390149931518, 4.397081677097691, 4.481174736564724, 4.527335308972211, 1.1276568960132365, 4.6410889835444324, 3.4283653980603885, 4.142690658458167, 5.825802121607762, 9.190861286905655, 1.9166956499584686, 8.841915932572654, 9.555890908773632, 4.090228768630201, 4.130770539399131, 4.0655732079441975, 2.6651090287700234, 1.8377806751872325, 1.7448648719382915]",-7.2698536625141985
4,2555466511,35.6606575,139.2823946,0.6812784737209184,6.506035918426007,"[4.932370053335159, 5.126845833019412, 12.605013722451108, 5.065022289666349, 5.191459420351828, 4.376310497062889, 6.693658595600935, 6.70420432967086, 2.628503123323044, 5.05820415718949, 4.675066030000014, 3.935821455368672, 5.415607933262254, 5.117267821695436, 2.9021311432447394, 5.441540192284506, 5.526243728147317, 5.5734299103038145, 1.8189991316767888, 5.29321408174777, 4.49815447209862, 5.1958155346443675, 6.638569222973687, 9.99733650818542, 2.8883086184160103, 9.753798266787474, 10.363448142833679, 5.143450877248729, 5.185321345359011, 5.104304275854836, 3.7192101013495766, 2.86056438305527, 2.7626617372074764]",-7.2693191946691975
5,1457051034,35.6603197,139.2823306,0.7117709770859623,6.488804036291599,"[4.937804820045626, 5.129998812309794, 12.604967801090513, 5.0681395073392705, 5.191768656989626, 4.381637882358216, 6.689852718393829, 6.700073336927336, 2.628724690323174, 5.058851983736994, 4.6805311249016555, 3.941894273811817, 5.419139255360207, 5.120402069058349, 2.8820111391037386, 5.445535969514686, 5.530305804965694, 5.577624601663828, 1.849512429468595, 5.2744207594463095, 4.512777270697421, 5.201123976718738, 6.625856576576201, 9.983619772295265, 2.887058737360908, 9.745830799796856, 10.349734837789283, 5.148784827690583, 5.190861654490462, 5.1076369992225095, 3.725068827220362, 2.863342064289462, 2.7650974972338718]",-7.269298915917134
6,2552340679,35.6606524,139.2952538,0.8216182480350167,5.60511276475869,"[3.768118819149683, 3.966524435445574, 11.45614206312583, 3.904826071446225, 4.043562373620597, 3.2121423346466154, 5.575141954471222, 5.588773870885011, 1.4887689646608537, 3.9085217703398722, 3.5108052290002574, 2.771449455717491, 4.254190467401629, 3.9570043778520647, 2.164977662300859, 4.279077999987596, 4.363640078371209, 4.41057540242311, 1.2808571558755442, 4.443755060488738, 3.378119671233763, 4.031631742233583, 5.642762952176975, 9.008578301473467, 1.7595969613737938, 8.676808107707288, 9.373848483510011, 3.979252333906003, 4.02101644831804, 3.9434806889322314, 2.5548374718552123, 1.7034746696168737, 1.607438740385482]",-7.269816556103503
7,2319842355,35.6678666,139.2967117,0.8689517269735124,6.091736386564877,"[3.737395093284432, 3.994337590932532, 11.491766912576145, 3.935245798802784, 4.146512996804759, 3.2008567596475808, 5.749783042426401, 5.771224060202409, 1.7732861415899466, 4.006289115255957, 3.4861160259699795, 2.7550760139525776, 4.264779952998544, 3.985579699858746, 2.8517123569705327, 4.276481919590197, 4.357481207586977, 4.399875065033945, 0.4733114522843426, 4.99164225752568, 3.0857334861946297, 3.998260553835621, 6.028473979338792, 9.373497011604554, 2.0492612640637375, 8.913600429130753, 9.735749686943617, 3.9463395450104226, 3.9814244265264866, 3.9669404162030455, 2.5554805484507357, 1.873805649688329, 1.8018896461475797]",-7.270253162720763
8,9175849911,35.672948,139.2918167,0.9626063712359033,6.808260121765913,"[4.322258770856284, 4.602270731209098, 12.065486390131376, 4.545089406959204, 4.783335121642482, 3.8045082198536693, 6.4017910135495315, 6.425861698701561, 2.484108626853736, 4.642609043270358, 4.078199176444232, 3.3667199195869193, 4.861580996400032, 4.59395989318997, 3.534078052552033, 4.866993451609065, 4.945303983384093, 4.985004368012338, 0.45510799355956116, 5.707567514126906, 3.530611470751106, 4.577746554905342, 6.734600306050836, 10.072210959317198, 2.7575194866187127, 9.577892598997703, 10.433538171443532, 4.526830886416428, 4.558093196970849, 4.57332337366466, 3.179403836732175, 2.565908452408743, 2.500044235460801]",-7.270331523868382
9,1457048695,35.6594819,139.2794019,0.9716597050524134,6.6540451506039116,"[5.203311680374528, 5.389560346631004, 12.853562890105406, 5.3276194756591195, 5.44272912280815, 4.647035052150656, 6.925388065627176, 6.934298085980414, 2.881202530948451, 5.310954120043203, 4.946173390500526, 4.209154568485811, 5.679665038908555, 5.379914269966469, 3.032996718520907, 5.707302437723418, 5.792228138817431, 5.839884850166102, 2.1060417630322443, 5.430052417127539, 4.792698134574388, 5.466268251077115, 6.8187273079036315, 10.169436953730749, 3.134431540976957, 9.962353710936497, 10.5354818873386, 5.414002044399905, 5.45656387568493, 5.367701562029211, 3.9919223739306253, 3.123009314330038, 3.023918776670482]",-7.269141427923017
